期次,红球,蓝球
17132,"['11', '17', '23', '26', '27']","['01', '10']"
17133,"['15', '17', '19', '32', '33']","['01', '03']"
17134,"['07', '18', '19', '32', '34']","['02', '10']"
17135,"['01', '12', '15', '19', '22']","['02', '04']"
17136,"['01', '11', '20', '21', '22']","['03', '04']"
17137,"['01', '20', '22', '28', '29']","['05', '07']"
17138,"['04', '07', '09', '20', '25']","['02', '11']"
17139,"['02', '06', '19', '25', '32']","['09', '12']"
17140,"['10', '16', '25', '26', '29']","['01', '05']"
17141,"['02', '08', '21', '22', '29']","['03', '05']"
17142,"['01', '05', '16', '19', '28']","['02', '10']"
17143,"['06', '09', '24', '29', '32']","['02', '07']"
17144,"['03', '21', '23', '29', '32']","['10', '11']"
17145,"['04', '07', '17', '18', '19']","['03', '10']"
17146,"['01', '05', '11', '14', '35']","['09', '10']"
17147,"['05', '16', '17', '25', '34']","['01', '11']"
17148,"['19', '27', '31', '32', '35']","['11', '12']"
17149,"['10', '18', '19', '25', '26']","['04', '12']"
17150,"['03', '06', '10', '13', '18']","['09', '11']"
17151,"['05', '06', '23', '28', '32']","['04', '05']"
17152,"['02', '04', '07', '23', '28']","['02', '08']"
17153,"['01', '09', '24', '26', '34']","['09', '12']"
18001,"['01', '13', '22', '25', '35']","['03', '04']"
18002,"['12', '20', '23', '27', '34']","['01', '06']"
18003,"['04', '21', '23', '24', '30']","['09', '10']"
18004,"['04', '09', '22', '28', '30']","['01', '10']"
18005,"['04', '09', '23', '24', '30']","['08', '11']"
18006,"['19', '20', '30', '32', '33']","['03', '05']"
18007,"['03', '04', '28', '31', '34']","['04', '11']"
18008,"['09', '15', '17', '20', '22']","['10', '11']"
18009,"['10', '12', '28', '30', '34']","['03', '04']"
18010,"['24', '25', '26', '28', '29']","['04', '12']"
18011,"['03', '13', '15', '23', '26']","['01', '10']"
18012,"['03', '22', '24', '29', '34']","['07', '11']"
18013,"['08', '24', '31', '33', '35']","['07', '10']"
18014,"['14', '16', '18', '24', '31']","['01', '08']"
18015,"['04', '13', '15', '18', '29']","['05', '11']"
18016,"['01', '02', '12', '13', '23']","['09', '12']"
18017,"['04', '19', '21', '23', '31']","['04', '09']"
18018,"['06', '08', '13', '24', '28']","['06', '12']"
18019,"['10', '11', '19', '21', '28']","['05', '12']"
18020,"['01', '10', '13', '14', '21']","['09', '12']"
18021,"['05', '06', '08', '09', '15']","['04', '11']"
18022,"['02', '10', '19', '33', '35']","['05', '06']"
18023,"['12', '13', '18', '21', '29']","['02', '08']"
18024,"['02', '16', '24', '30', '32']","['04', '07']"
18025,"['07', '08', '09', '15', '34']","['07', '08']"
18026,"['01', '02', '03', '04', '30']","['03', '05']"
18027,"['01', '18', '20', '21', '26']","['04', '11']"
18028,"['04', '19', '25', '30', '35']","['04', '07']"
18029,"['03', '09', '21', '25', '29']","['01', '08']"
18030,"['05', '18', '21', '28', '32']","['09', '11']"
18031,"['03', '08', '13', '17', '23']","['05', '11']"
18032,"['07', '10', '17', '32', '35']","['05', '12']"
18033,"['02', '03', '19', '23', '34']","['04', '09']"
18034,"['08', '11', '22', '27', '32']","['03', '07']"
18035,"['05', '07', '10', '12', '24']","['07', '11']"
18036,"['11', '17', '18', '21', '27']","['07', '08']"
18037,"['01', '03', '27', '30', '31']","['02', '11']"
18038,"['14', '23', '25', '31', '32']","['01', '03']"
18039,"['02', '07', '14', '29', '32']","['10', '11']"
18040,"['05', '07', '18', '27', '31']","['01', '08']"
18041,"['01', '23', '25', '31', '33']","['01', '12']"
18042,"['03', '19', '25', '29', '35']","['05', '09']"
18043,"['03', '06', '13', '28', '33']","['04', '11']"
18044,"['02', '04', '06', '18', '21']","['05', '08']"
18045,"['02', '05', '20', '30', '35']","['05', '09']"
18046,"['10', '20', '22', '29', '32']","['05', '10']"
18047,"['03', '08', '10', '14', '20']","['04', '08']"
18048,"['02', '03', '11', '20', '25']","['02', '07']"
18049,"['04', '07', '09', '10', '13']","['06', '12']"
18050,"['22', '24', '26', '34', '35']","['06', '12']"
18051,"['09', '18', '28', '29', '35']","['03', '11']"
18052,"['05', '16', '18', '19', '25']","['02', '07']"
18053,"['11', '16', '21', '23', '25']","['02', '12']"
18054,"['09', '10', '12', '20', '30']","['01', '07']"
18055,"['03', '07', '20', '33', '34']","['09', '10']"
18056,"['02', '04', '16', '28', '34']","['05', '07']"
18057,"['13', '19', '22', '27', '28']","['05', '06']"
18058,"['09', '11', '12', '26', '32']","['04', '10']"
18059,"['01', '09', '10', '27', '35']","['06', '11']"
18060,"['04', '22', '27', '29', '31']","['02', '10']"
18061,"['04', '10', '12', '28', '31']","['08', '11']"
18062,"['12', '14', '19', '23', '35']","['02', '07']"
18063,"['05', '14', '15', '32', '34']","['03', '10']"
18064,"['01', '03', '04', '11', '29']","['02', '04']"
18065,"['07', '10', '28', '31', '32']","['08', '10']"
18066,"['01', '20', '23', '32', '33']","['01', '04']"
18067,"['03', '07', '12', '18', '31']","['07', '10']"
18068,"['08', '12', '16', '26', '33']","['05', '06']"
18069,"['01', '08', '13', '21', '24']","['02', '11']"
18070,"['02', '05', '10', '16', '30']","['04', '07']"
18071,"['02', '05', '23', '30', '31']","['03', '09']"
18072,"['05', '12', '17', '24', '26']","['01', '02']"
18073,"['13', '19', '24', '25', '29']","['02', '08']"
18074,"['03', '09', '12', '28', '30']","['04', '12']"
18075,"['01', '06', '12', '20', '34']","['04', '12']"
18076,"['07', '18', '28', '29', '32']","['06', '08']"
18077,"['01', '06', '09', '15', '26']","['08', '09']"
18078,"['07', '11', '12', '22', '30']","['03', '06']"
期次,红球,蓝球
17132,"['11', '17', '23', '26', '27']","['01', '10']"
17133,"['15', '17', '19', '32', '33']","['01', '03']"
17134,"['07', '18', '19', '32', '34']","['02', '10']"
17135,"['01', '12', '15', '19', '22']","['02', '04']"
17136,"['01', '11', '20', '21', '22']","['03', '04']"
17137,"['01', '20', '22', '28', '29']","['05', '07']"
17138,"['04', '07', '09', '20', '25']","['02', '11']"
17139,"['02', '06', '19', '25', '32']","['09', '12']"
17140,"['10', '16', '25', '26', '29']","['01', '05']"
17141,"['02', '08', '21', '22', '29']","['03', '05']"
17142,"['01', '05', '16', '19', '28']","['02', '10']"
17143,"['06', '09', '24', '29', '32']","['02', '07']"
17144,"['03', '21', '23', '29', '32']","['10', '11']"
17145,"['04', '07', '17', '18', '19']","['03', '10']"
17146,"['01', '05', '11', '14', '35']","['09', '10']"
17147,"['05', '16', '17', '25', '34']","['01', '11']"
17148,"['19', '27', '31', '32', '35']","['11', '12']"
17149,"['10', '18', '19', '25', '26']","['04', '12']"
17150,"['03', '06', '10', '13', '18']","['09', '11']"
17151,"['05', '06', '23', '28', '32']","['04', '05']"
17152,"['02', '04', '07', '23', '28']","['02', '08']"
17153,"['01', '09', '24', '26', '34']","['09', '12']"
18001,"['01', '13', '22', '25', '35']","['03', '04']"
18002,"['12', '20', '23', '27', '34']","['01', '06']"
18003,"['04', '21', '23', '24', '30']","['09', '10']"
18004,"['04', '09', '22', '28', '30']","['01', '10']"
18005,"['04', '09', '23', '24', '30']","['08', '11']"
18006,"['19', '20', '30', '32', '33']","['03', '05']"
18007,"['03', '04', '28', '31', '34']","['04', '11']"
18008,"['09', '15', '17', '20', '22']","['10', '11']"
18009,"['10', '12', '28', '30', '34']","['03', '04']"
18010,"['24', '25', '26', '28', '29']","['04', '12']"
18011,"['03', '13', '15', '23', '26']","['01', '10']"
18012,"['03', '22', '24', '29', '34']","['07', '11']"
18013,"['08', '24', '31', '33', '35']","['07', '10']"
18014,"['14', '16', '18', '24', '31']","['01', '08']"
18015,"['04', '13', '15', '18', '29']","['05', '11']"
18016,"['01', '02', '12', '13', '23']","['09', '12']"
18017,"['04', '19', '21', '23', '31']","['04', '09']"
18018,"['06', '08', '13', '24', '28']","['06', '12']"
18019,"['10', '11', '19', '21', '28']","['05', '12']"
18020,"['01', '10', '13', '14', '21']","['09', '12']"
18021,"['05', '06', '08', '09', '15']","['04', '11']"
18022,"['02', '10', '19', '33', '35']","['05', '06']"
18023,"['12', '13', '18', '21', '29']","['02', '08']"
18024,"['02', '16', '24', '30', '32']","['04', '07']"
18025,"['07', '08', '09', '15', '34']","['07', '08']"
18026,"['01', '02', '03', '04', '30']","['03', '05']"
18027,"['01', '18', '20', '21', '26']","['04', '11']"
18028,"['04', '19', '25', '30', '35']","['04', '07']"
18029,"['03', '09', '21', '25', '29']","['01', '08']"
18030,"['05', '18', '21', '28', '32']","['09', '11']"
18031,"['03', '08', '13', '17', '23']","['05', '11']"
18032,"['07', '10', '17', '32', '35']","['05', '12']"
18033,"['02', '03', '19', '23', '34']","['04', '09']"
18034,"['08', '11', '22', '27', '32']","['03', '07']"
18035,"['05', '07', '10', '12', '24']","['07', '11']"
18036,"['11', '17', '18', '21', '27']","['07', '08']"
18037,"['01', '03', '27', '30', '31']","['02', '11']"
18038,"['14', '23', '25', '31', '32']","['01', '03']"
18039,"['02', '07', '14', '29', '32']","['10', '11']"
18040,"['05', '07', '18', '27', '31']","['01', '08']"
18041,"['01', '23', '25', '31', '33']","['01', '12']"
18042,"['03', '19', '25', '29', '35']","['05', '09']"
18043,"['03', '06', '13', '28', '33']","['04', '11']"
18044,"['02', '04', '06', '18', '21']","['05', '08']"
18045,"['02', '05', '20', '30', '35']","['05', '09']"
18046,"['10', '20', '22', '29', '32']","['05', '10']"
18047,"['03', '08', '10', '14', '20']","['04', '08']"
18048,"['02', '03', '11', '20', '25']","['02', '07']"
18049,"['04', '07', '09', '10', '13']","['06', '12']"
18050,"['22', '24', '26', '34', '35']","['06', '12']"
18051,"['09', '18', '28', '29', '35']","['03', '11']"
18052,"['05', '16', '18', '19', '25']","['02', '07']"
18053,"['11', '16', '21', '23', '25']","['02', '12']"
18054,"['09', '10', '12', '20', '30']","['01', '07']"
18055,"['03', '07', '20', '33', '34']","['09', '10']"
18056,"['02', '04', '16', '28', '34']","['05', '07']"
18057,"['13', '19', '22', '27', '28']","['05', '06']"
18058,"['09', '11', '12', '26', '32']","['04', '10']"
18059,"['01', '09', '10', '27', '35']","['06', '11']"
18060,"['04', '22', '27', '29', '31']","['02', '10']"
18061,"['04', '10', '12', '28', '31']","['08', '11']"
18062,"['12', '14', '19', '23', '35']","['02', '07']"
18063,"['05', '14', '15', '32', '34']","['03', '10']"
18064,"['01', '03', '04', '11', '29']","['02', '04']"
18065,"['07', '10', '28', '31', '32']","['08', '10']"
18066,"['01', '20', '23', '32', '33']","['01', '04']"
18067,"['03', '07', '12', '18', '31']","['07', '10']"
18068,"['08', '12', '16', '26', '33']","['05', '06']"
18069,"['01', '08', '13', '21', '24']","['02', '11']"
18070,"['02', '05', '10', '16', '30']","['04', '07']"
18071,"['02', '05', '23', '30', '31']","['03', '09']"
18072,"['05', '12', '17', '24', '26']","['01', '02']"
18073,"['13', '19', '24', '25', '29']","['02', '08']"
18074,"['03', '09', '12', '28', '30']","['04', '12']"
18075,"['01', '06', '12', '20', '34']","['04', '12']"
18076,"['07', '18', '28', '29', '32']","['06', '08']"
18077,"['01', '06', '09', '15', '26']","['08', '09']"
18078,"['07', '11', '12', '22', '30']","['03', '06']"
